Timestamp,US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,PWM1,PWM2,PWM3,PWM4,RPM1,RPM2,RPM3,RPM4,PS4_X,PS4_Y,PS4_W
4319,82,-1,7,7,48,46,50,59,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
4453,83,-1,7,7,48,45,51,56,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
4584,82,-1,7,7,48,46,50,65,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
4717,82,-1,7,7,48,45,50,88,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
4847,82,-1,7,7,48,46,51,57,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
4977,82,-1,7,7,48,46,51,50,7,2,2,2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5106,82,-1,7,7,48,45,51,49,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5236,81,-1,7,7,47,46,50,57,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5366,81,-1,7,7,48,46,51,51,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5495,81,-1,7,7,48,45,51,48,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5624,82,-1,7,7,48,45,50,50,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5753,82,-1,7,7,47,46,50,52,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
5884,82,-1,7,7,47,46,51,60,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6014,82,-1,7,7,48,46,50,58,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6143,82,-1,7,7,47,47,51,57,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6273,82,-1,7,7,47,46,50,58,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6402,82,-1,7,7,47,47,50,68,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6534,82,-1,7,7,47,46,50,72,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6668,82,-1,7,7,47,46,50,94,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6802,82,-1,7,7,47,47,50,76,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
6932,82,-1,7,7,47,46,50,60,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7065,82,-1,7,7,48,46,50,73,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7199,82,-1,7,7,48,46,50,94,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7331,81,-1,7,7,47,47,51,58,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7460,82,-1,7,7,48,46,37,58,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7589,82,-1,7,7,48,46,36,64,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7719,81,-1,7,7,48,45,36,72,7,3,2,2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7849,81,-1,7,7,47,47,37,70,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
7979,81,-1,7,7,47,46,37,68,7,2,2,2,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8109,82,-1,7,7,47,46,37,70,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8237,81,-1,7,7,48,46,37,70,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8367,81,-1,7,7,47,46,37,71,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8496,81,-1,7,7,48,46,37,60,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8626,80,-1,7,7,48,46,37,70,7,3,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
8754,81,-1,7,7,47,47,38,69,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
JoystickController::claim_bluetooth - Class 2508 Wireless Controller
JoystickController::claim_bluetooth Interface
Received Max Slot change Msg
8884,81,-1,7,7,48,46,37,69,7,2,2,3,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0
9013,82,-1,7,7,48,46,37,58,7,2,2,3,-4038,-4038,1261,1261,0.00,0.00,0.00,0.00,0,-120,-127
9133,81,344,7,6,48,49,36,66,9,3,2,3,-1943,-3353,1415,1225,-104.00,-53.71,3.69,10.46,0,-120,-127
9262,78,-1,9,6,55,53,39,64,9,3,3,2,-3591,-4424,2120,1960,-104.00,-102.86,16.00,17.85,0,-120,-127
9407,70,-1,10,7,55,9,43,83,12,3,2,3,-3076,-4339,2329,1824,-146.46,-145.14,35.08,46.15,0,-120,-127
9547,62,-1,16,9,77,72,57,78,16,2,3,2,-3054,-3852,2100,1436,-144.62,-164.57,51.69,60.31,0,-120,-127
9711,52,-1,20,13,87,86,62,66,21,3,3,2,-4037,-4230,2333,1149,-113.23,-136.00,40.00,59.08,0,-120,-127
